Model,DM_Stat,p_value,Significant,Better
LASSO,10.395409830493081,0.0,True,False
ElasticNet,7.652398224953569,2.221112183065088e-12,True,False
Random Forest,-1.2839258593162086,0.20114758048248027,False,True
Gradient Boosting,1.2200484864062826,0.22436118901098867,False,False
NG-Boost,2.5496941480266813,0.011785166892182897,True,False
Quantile-Median,4.258334366991139,3.6179986892870275e-05,True,False
